Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
QoindDigital,,,,2023-06-03 11:32:48,2023-06-03 11:33:00,12.153s,PASSED
,,,,,,,
Test Cases/Get List of User,,,,2023-06-03 11:32:48,2023-06-03 11:32:51,2.504s,PASSED
"getListUser = findTestObject(""QoinDigital/Get List User"", [""page"":page, ""basedUrl"":basedUrl])",,,,2023-06-03 11:32:49,2023-06-03 11:32:49,0.293s,PASSED
"respListUser = sendRequest(getListUser, OPTIONAL)",,,,2023-06-03 11:32:49,2023-06-03 11:32:51,1.447s,PASSED
jsonSlurper = new groovy.json.JsonSlurper(),,,,2023-06-03 11:32:51,2023-06-03 11:32:51,0.027s,PASSED
jsonRespListUser = jsonSlurper.parseText(respListUser.getResponseText()),,,,2023-06-03 11:32:51,2023-06-03 11:32:51,0.023s,PASSED
respCode = getStatusCode().toString(),,,,2023-06-03 11:32:51,2023-06-03 11:32:51,0.002s,PASSED
"log_info = ""
"" + ""="" * 40 + ""
""",,,,2023-06-03 11:32:51,2023-06-03 11:32:51,0.001s,PASSED
"log_info += ""List Of User 
""",,,,2023-06-03 11:32:51,2023-06-03 11:32:51,0.001s,PASSED
"log_info += ""="" * 40 + ""
""",,,,2023-06-03 11:32:51,2023-06-03 11:32:51,0.002s,PASSED
"log_info += ""Page		: "" + page + ""
""",,,,2023-06-03 11:32:51,2023-06-03 11:32:51,0.012s,PASSED
"log_info += ""Per page	: "" + per_page + ""
""",,,,2023-06-03 11:32:51,2023-06-03 11:32:51,0.000s,PASSED
"log_info += ""Total		: "" + total + ""
""",,,,2023-06-03 11:32:51,2023-06-03 11:32:51,0.000s,PASSED
"log_info += ""Total Page	: "" + total_pages + ""
""",,,,2023-06-03 11:32:51,2023-06-03 11:32:51,0.002s,PASSED
"log_info += ""Data:
""",,,,2023-06-03 11:32:51,2023-06-03 11:32:51,0.000s,PASSED
data.each({ java.lang.Object item -> ... }),,,,2023-06-03 11:32:51,2023-06-03 11:32:51,0.023s,PASSED
